ENST00000450305	DDX11L1
ENST00000262101	MSR1
ENST00000445506	MSR1
ENST00000355282	MSR1
ENST00000381998	MSR1
ENST00000518788	AC087360.1
ENST00000521066	MRPL49P2
ENST00000521055	AC011586.1
ENST00000521411	AC068992.1
ENST00000519280	AC068992.1
ENST00000180166	FGF20
ENST00000318063	MICU3
ENST00000513892	AC079193.2
ENST00000460497	AC079193.1
ENST00000262096	ZDHHC2
ENST00000361272	CNOT7
ENST00000523917	CNOT7
ENST00000628418	CNOT7
ENST00000324849	VPS37A
ENST00000521829	VPS37A
ENST00000521005	VPS37A
ENST00000180173	MTMR7
ENST00000521857	MTMR7
ENST00000398655	ADAM24P
ENST00000494857	SLC7A2
ENST00000522656	SLC7A2
ENST00000470360	SLC7A2
ENST00000004531	SLC7A2
ENST00000398090	SLC7A2
ENST00000251630	PDGFRL
ENST00000541323	PDGFRL
ENST00000610471	AP006248.1
ENST00000544260	MTUS1
ENST00000381869	MTUS1
ENST00000297488	MTUS1
ENST00000381861	MTUS1
ENST00000262102	MTUS1
ENST00000519263	MTUS1
ENST00000634613	MTUS1
ENST00000519066	MTUS1
ENST00000584165	MIR548V
ENST00000398056	FGL1
ENST00000522444	FGL1
ENST00000398054	FGL1
ENST00000381840	FGL1
ENST00000381841	FGL1
ENST00000427924	FGL1
ENST00000518650	FGL1
ENST00000519038	AC087273.2
ENST00000325083	PCM1
ENST00000327578	PCM1
ENST00000518537	PCM1
ENST00000519253	PCM1
ENST00000524226	PCM1
ENST00000637790	ASAH1
ENST00000262097	ASAH1
ENST00000520781	ASAH1
ENST00000381733	ASAH1
ENST00000637991	ASAH1
ENST00000636691	ASAH1
ENST00000637528	ASAH1
ENST00000637922	ASAH1
ENST00000636171	ASAH1
ENST00000636577	ASAH1
ENST00000637636	ASAH1
ENST00000636128	ASAH1
ENST00000636997	ASAH1
ENST00000636455	ASAH1
ENST00000314146	ASAH1
ENST00000637638	ASAH1
ENST00000637561	ASAH1
ENST00000636537	ASAH1
ENST00000637872	ASAH1
ENST00000636269	ASAH1
ENST00000517431	AC124242.2
ENST00000307719	NAT1
ENST00000541942	NAT1
ENST00000518029	NAT1
ENST00000517492	NAT1
ENST00000545197	NAT1
ENST00000520546	NAT1
ENST00000518144	MTND4LP26
ENST00000523491	NATP
ENST00000465163	AC025062.1
ENST00000605477	AC025062.2
ENST00000286479	NAT2
ENST00000520116	NAT2
ENST00000327040	PSD3
ENST00000440756	PSD3
ENST00000614430	PSD3
ENST00000615573	PSD3
ENST00000286485	PSD3
ENST00000428502	PSD3
ENST00000523619	PSD3
ENST00000490024	RPL35P6
ENST00000516154	AC090420.1
ENST00000637086	AC087821.2
ENST00000603110	AC009884.2
ENST00000520920	AC100849.1
ENST00000517949	AC100849.1
ENST00000518417	AC100849.1
ENST00000518324	AC100849.2
ENST00000507289	AC068880.1
ENST00000519185	AC068880.3
ENST00000521016	AC068880.2
ENST00000265807	SH2D4A
ENST00000518040	SH2D4A
ENST00000519207	SH2D4A
ENST00000454498	CSGALNACT1
ENST00000332246	CSGALNACT1
ENST00000522854	CSGALNACT1
ENST00000519803	AC090541.1
ENST00000397977	INTS10
ENST00000311322	LPL
ENST00000465586	RPL30P9
ENST00000265808	SLC18A1
ENST00000276373	SLC18A1
ENST00000440926	SLC18A1
ENST00000437980	SLC18A1
ENST00000519026	SLC18A1
ENST00000381608	SLC18A1
ENST00000276390	ATP6V1B2
ENST00000265801	LZTS1
ENST00000381569	LZTS1
ENST00000522290	LZTS1
ENST00000616228	LZTS1
ENST00000523103	LZTS1-AS1
ENST00000521139	AC023403.1
ENST00000520905	AC022559.1
ENST00000517706	AC018541.1
ENST00000518687	AC018541.1
ENST00000517841	TMEM97P2
ENST00000523496	AC015468.4
ENST00000518967	AC015468.3
ENST00000523852	AC015468.1
ENST00000523035	AC015468.1
ENST00000519605	AC015468.2
ENST00000522604	LINC02153
ENST00000517994	AC103719.1
ENST00000401126	AC021613.1
ENST00000519996	AC021355.1
ENST00000401325	AC009695.1
ENST00000578848	AC022716.1
ENST00000524240	GFRA2
ENST00000517328	GFRA2
ENST00000518077	GFRA2
ENST00000517892	GFRA2
ENST00000609216	OR6R2P
ENST00000276420	DOK2
ENST00000252512	XPO7
ENST00000433566	XPO7
ENST00000521157	NPM2
ENST00000397940	NPM2
ENST00000518119	NPM2
ENST00000289820	NPM2
ENST00000381530	NPM2
ENST00000615914	NPM2
ENST00000621538	NPM2
ENST00000518533	FGF17
ENST00000359441	FGF17
ENST00000381470	DMTN
ENST00000432128	DMTN
ENST00000443491	DMTN
ENST00000517600	DMTN
ENST00000523782	DMTN
ENST00000517305	DMTN
ENST00000265800	DMTN
ENST00000358242	DMTN
ENST00000523266	DMTN
ENST00000519907	DMTN
ENST00000415253	DMTN
ENST00000289921	FAM160B2
ENST00000611621	NUDT18
ENST00000613958	NUDT18
ENST00000381418	HR
ENST00000312841	HR
ENST00000334530	REEP4
ENST00000306306	REEP4
ENST00000523293	REEP4
ENST00000306317	LGI3
ENST00000424267	LGI3
ENST00000318561	SFTPC
ENST00000521315	SFTPC
ENST00000437090	SFTPC
ENST00000520605	SFTPC
ENST00000522109	SFTPC
ENST00000524255	SFTPC
ENST00000306385	BMP1
ENST00000397814	BMP1
ENST00000354870	BMP1
ENST00000306349	BMP1
ENST00000321613	PHYHIP
ENST00000454243	PHYHIP
ENST00000385302	MIR320A
ENST00000306433	POLR3D
ENST00000397802	POLR3D
ENST00000356766	PIWIL2
ENST00000521356	PIWIL2
ENST00000454009	PIWIL2
ENST00000611073	PIWIL2
ENST00000359741	SLC39A14
ENST00000240095	SLC39A14
ENST00000381237	SLC39A14
ENST00000289952	SLC39A14
ENST00000482585	AC105910.1
ENST00000518852	PPP3CC
ENST00000240139	PPP3CC
ENST00000289963	PPP3CC
ENST00000397775	PPP3CC
ENST00000519706	AC087854.1
ENST00000240123	SORBS3
ENST00000523965	SORBS3
ENST00000339162	PDLIM2
ENST00000308354	PDLIM2
ENST00000397760	PDLIM2
ENST00000397761	PDLIM2
ENST00000622702	PDLIM2
ENST00000409141	PDLIM2
ENST00000265810	PDLIM2
ENST00000409417	PDLIM2
ENST00000464275	PDLIM2
ENST00000614502	PDLIM2
ENST00000443561	PDLIM2
ENST00000430850	AC037459.1
ENST00000409586	C8orf58
ENST00000614574	C8orf58
ENST00000289989	C8orf58
ENST00000615223	C8orf58
ENST00000308511	CCAR2
ENST00000521301	CCAR2
ENST00000389279	CCAR2
ENST00000520861	CCAR2
ENST00000613179	CCAR2
ENST00000276416	BIN3
ENST00000519513	BIN3
ENST00000399977	BIN3
ENST00000520292	BIN3
ENST00000640731	BIN3
ENST00000522268	BIN3
ENST00000317216	EGR3
ENST00000522910	EGR3
ENST00000519492	EGR3
ENST00000256404	PEBP4
ENST00000519685	RHOBTB2
ENST00000522948	RHOBTB2
ENST00000251822	RHOBTB2
ENST00000276431	TNFRSF10B
ENST00000347739	TNFRSF10B
ENST00000397703	TNFRSF10C
ENST00000356864	TNFRSF10C
ENST00000312584	TNFRSF10D
ENST00000221132	TNFRSF10A
ENST00000613472	TNFRSF10A
ENST00000498163	RPL23AP55
ENST00000397677	CHMP7
ENST00000313219	CHMP7
ENST00000625275	R3HCC1
ENST00000265806	R3HCC1
ENST00000411463	R3HCC1
ENST00000389131	LOXL2
ENST00000356206	ENTPD4
ENST00000358689	ENTPD4
ENST00000417069	ENTPD4
ENST00000521021	AC104561.1
ENST00000523257	AC104561.2
ENST00000518590	AC104561.3
ENST00000519973	SLC25A37
ENST00000595539	AC051642.1
ENST00000399967	FP15737
ENST00000524174	FAM60DP
ENST00000380871	NKX3-1
ENST00000523261	NKX3-1
ENST00000325017	NKX2-6
ENST00000523874	AC012574.1
ENST00000520375	AC012574.2
ENST00000401304	AC012119.1
ENST00000603184	AC012119.1
ENST00000290271	STC1
ENST00000524323	STC1
ENST00000521681	AC023202.1
ENST00000265769	ADAM28
ENST00000437154	ADAM28
ENST00000256412	ADAMDEC1
ENST00000522298	ADAMDEC1
ENST00000441335	ADAM7
ENST00000175238	ADAM7
ENST00000380789	ADAM7
ENST00000520720	ADAM7
ENST00000221166	NEFM
ENST00000518131	NEFM
ENST00000437366	NEFM
ENST00000433454	NEFM
ENST00000610854	NEFL
ENST00000639464	NEFL
ENST00000619417	NEFL
ENST00000522570	AC107373.1
ENST00000519036	AC073581.1
ENST00000410074	DOCK5
ENST00000481100	DOCK5
ENST00000276440	DOCK5
ENST00000421054	GNRH1
ENST00000276414	GNRH1
ENST00000523840	AC091185.1
ENST00000221200	KCTD9
ENST00000330560	CDCA2
ENST00000380665	CDCA2
ENST00000517964	AC009623.1
ENST00000522524	AC009623.2
ENST00000520386	AC090103.1
ENST00000520164	EBF2
ENST00000408929	EBF2
ENST00000535548	EBF2
ENST00000512187	AC079097.1
ENST00000380737	PPP2R2A
ENST00000315985	PPP2R2A
ENST00000640787	PPP2R2A
ENST00000524156	SDAD1P1
ENST00000380629	BNIP3L
ENST00000523515	BNIP3L
ENST00000520409	BNIP3L
ENST00000518611	BNIP3L
ENST00000515686	AC011726.1
ENST00000522362	PNMA2
ENST00000521913	DPYSL2
ENST00000311151	DPYSL2
ENST00000523027	DPYSL2
ENST00000524123	AC015743.1
ENST00000380586	ADRA1A
ENST00000380582	ADRA1A
ENST00000519229	ADRA1A
ENST00000354550	ADRA1A
ENST00000276393	ADRA1A
ENST00000380573	ADRA1A
ENST00000380572	ADRA1A
ENST00000486251	AC091675.1
ENST00000519826	COX6B1P4
ENST00000617126	AC067904.3
ENST00000522530	AC067904.1
ENST00000408689	MIR548H4
ENST00000517322	AC067904.2
ENST00000521869	AC090150.2
ENST00000408696	AC090150.1
ENST00000350889	STMN4
ENST00000519997	STMN4
ENST00000265770	STMN4
ENST00000523048	STMN4
ENST00000519614	STMN4
ENST00000522908	STMN4
ENST00000305364	TRIM35
ENST00000521253	TRIM35
ENST00000397501	PTK2B
ENST00000346049	PTK2B
ENST00000420218	PTK2B
ENST00000517339	PTK2B
ENST00000407991	CHRNA2
ENST00000520933	CHRNA2
ENST00000240132	CHRNA2
ENST00000521400	EPHX2
ENST00000517536	EPHX2
ENST00000521780	EPHX2
ENST00000380476	EPHX2
ENST00000518379	EPHX2
ENST00000316403	CLU
ENST00000405140	CLU
ENST00000523500	CLU
ENST00000337221	SCARA3
ENST00000301904	SCARA3
ENST00000518155	AC013643.1
ENST00000584551	MIR3622A
ENST00000356537	CCDC25
ENST00000522915	CCDC25
ENST00000640944	CCDC25
ENST00000305188	ESCO2
ENST00000397418	ESCO2
ENST00000301905	PBK
ENST00000522944	PBK
ENST00000519761	AC104997.1
ENST00000354914	SCARA5
ENST00000380385	SCARA5
ENST00000524352	SCARA5
ENST00000518030	SCARA5
ENST00000579398	MIR4287
ENST00000517763	AC069113.1
ENST00000521019	AC069113.3
ENST00000413272	NUGGC
ENST00000521015	ELP3
ENST00000256398	ELP3
ENST00000380353	ELP3
ENST00000537665	ELP3
ENST00000524103	ELP3
ENST00000505195	AC021678.1
ENST00000517893	AC021678.3
ENST00000480199	RPL5P22
ENST00000301908	PNOC
ENST00000522209	PNOC
ENST00000344423	ZNF395
ENST00000523202	ZNF395
ENST00000523095	ZNF395
ENST00000380254	FBXO16
ENST00000346498	FBXO16
ENST00000518734	FBXO16
ENST00000519471	FBXO16
ENST00000537916	FZD3
ENST00000240093	FZD3
ENST00000582598	MIR4288
ENST00000523149	EXTL3
ENST00000220562	EXTL3
ENST00000521022	INTS9
ENST00000416984	INTS9
ENST00000521777	INTS9
ENST00000472104	AC040975.1
ENST00000287701	HMBOX1
ENST00000558662	HMBOX1
ENST00000523613	HMBOX1
ENST00000397358	HMBOX1
ENST00000519047	HMBOX1
ENST00000355231	HMBOX1
ENST00000524238	HMBOX1
ENST00000524189	KIF13B
ENST00000521515	KIF13B
ENST00000518743	HMGB1P23
ENST00000390745	AC084262.1
ENST00000577231	AC084262.2
ENST00000577225	AC084262.3
ENST00000240100	DUSP4
ENST00000240101	DUSP4
ENST00000521101	AC084026.2
ENST00000522028	AC084026.1
ENST00000498256	AC069181.1
ENST00000518623	LINC00589
ENST00000506121	LINC00589
ENST00000522158	LINC02099
ENST00000517491	LINC02099
ENST00000507496	AC131254.1
ENST00000522967	AC131254.3
ENST00000521908	AC131254.2
ENST00000521245	LINC02209
ENST00000408076	AC131254.1
ENST00000579676	MIR3148
ENST00000519737	AC044849.1
ENST00000256255	SARAF
ENST00000545648	SARAF
ENST00000321250	LEPROTL1
ENST00000518001	LEPROTL1
ENST00000442880	LEPROTL1
ENST00000523116	LEPROTL1
ENST00000518192	LEPROTL1
ENST00000492525	AC026979.1
ENST00000320542	MBOAT4
ENST00000607315	AC026979.3
ENST00000221114	DCTN6
ENST00000520829	DCTN6
ENST00000606555	AC026979.4
ENST00000508840	HSPA8P11
ENST00000519722	AC090820.1
ENST00000518744	AC109329.1
ENST00000519658	AC109329.2
ENST00000248151	TUBBP1
ENST00000397323	RBPMS
ENST00000339877	RBPMS
ENST00000320203	RBPMS
ENST00000287771	RBPMS
ENST00000517860	RBPMS
ENST00000520161	RBPMS
ENST00000519647	RBPMS
ENST00000520191	RBPMS
ENST00000355904	GTF2E2
ENST00000517349	SMIM18
ENST00000626298	SMIM18
ENST00000221130	GSR
ENST00000537535	GSR
ENST00000541648	GSR
ENST00000546342	GSR
ENST00000620074	UBXN8
ENST00000265616	UBXN8
ENST00000341403	UBXN8
ENST00000615729	UBXN8
ENST00000603871	AC009314.1
ENST00000221138	PPP2CB
ENST00000518564	PPP2CB
ENST00000638951	TEX15
ENST00000256246	TEX15
ENST00000523019	AC090281.1
ENST00000520373	AC008066.1
ENST00000339382	PURG
ENST00000475541	PURG
ENST00000298139	WRN
ENST00000519475	SUMO2P16
ENST00000522306	KCTD9P6
ENST00000524022	AC068672.2
ENST00000520391	AC068672.1
ENST00000519301	NRG1
ENST00000520407	NRG1
ENST00000614767	NRG1
ENST00000523079	NRG1
ENST00000356819	NRG1
ENST00000521670	NRG1
ENST00000287842	NRG1
ENST00000405005	NRG1
ENST00000520502	NRG1
ENST00000539990	NRG1
ENST00000607314	RP11-1002K11.1
ENST00000500843	AC090204.1
ENST00000523621	MTND1P6
ENST00000521584	MTND2P32
ENST00000519957	RANP9
ENST00000583783	AC104037.1
ENST00000521887	AC104027.1
ENST00000606064	AC067838.1
ENST00000327671	FUT10
ENST00000518672	FUT10
ENST00000524021	FUT10
ENST00000521717	AC091144.2
ENST00000613904	TTI2
ENST00000360742	TTI2
ENST00000431156	TTI2
ENST00000520636	TTI2
ENST00000360128	MAK16
ENST00000519573	AC091144.1
ENST00000519384	RPL10P18
ENST00000256257	RNF122
ENST00000256261	DUSP26
ENST00000523956	DUSP26
ENST00000523063	AF279873.3
ENST00000523336	AF279873.3
ENST00000521828	BUD31P1
ENST00000523979	VENTXP5
ENST00000468681	AF279873.2
ENST00000523393	AF279873.1
ENST00000521714	AF279873.4
ENST00000518217	AC087855.2
ENST00000522460	AC090993.1
ENST00000518178	AC087855.1
ENST00000462503	RPL10AP3
ENST00000519189	LINC01288
ENST00000477341	AC087343.1
ENST00000584085	AC098612.1
ENST00000404895	UNC5D
ENST00000420357	UNC5D
ENST00000287272	UNC5D
ENST00000416672	UNC5D
ENST00000453357	UNC5D
ENST00000449677	UNC5D
ENST00000411836	LSM12P1
ENST00000437887	AC012215.1
ENST00000524167	AC100818.1
ENST00000523748	AC100818.1
ENST00000523342	AC124290.1
ENST00000519431	AC124290.2
ENST00000517463	MTCYBP19
ENST00000519399	MTND6P19
ENST00000517498	MTND5P41
ENST00000522549	AP006245.1
ENST00000522004	AP006245.2
ENST00000524132	AC090809.1
ENST00000468780	RPL23P10
ENST00000399881	KCNU1
ENST00000518904	KCNU1
ENST00000611470	AC124076.1
ENST00000510120	TPT1P8
ENST00000495560	AC090453.1
ENST00000523411	AC092818.1
ENST00000523647	SMARCE1P4
ENST00000520431	AC091182.2
ENST00000522718	LINC01605
ENST00000519738	LINC01605
ENST00000517897	AC124067.1
ENST00000522643	AC124067.3
ENST00000519691	AC124067.4
ENST00000522471	AC124067.4
ENST00000517714	AC137579.2
ENST00000331569	ZNF703
ENST00000397228	ERLIN2
ENST00000523887	ERLIN2
ENST00000276461	ERLIN2
ENST00000518586	ERLIN2
ENST00000335171	ERLIN2
ENST00000523107	ERLIN2
ENST00000519638	ERLIN2
ENST00000521192	AC138356.2
ENST00000328195	PLPBP
ENST00000315215	ADGRA2
ENST00000412232	ADGRA2
ENST00000220659	BRF2
ENST00000520601	BRF2
ENST00000521170	BRF2
ENST00000287263	RAB11FIP1
ENST00000330843	RAB11FIP1
ENST00000522727	RAB11FIP1
ENST00000524118	RAB11FIP1
ENST00000307599	GOT1L1
ENST00000518826	GOT1L1
ENST00000581217	AC144573.1
ENST00000345060	ADRB3
ENST00000605620	RPL12P48
ENST00000338825	EIF4EBP1
ENST00000607091	AP006545.2
ENST00000343823	ASH2L
ENST00000545394	ASH2L
ENST00000428278	ASH2L
ENST00000521652	ASH2L
ENST00000276449	STAR
ENST00000311351	LSM1
ENST00000520755	LSM1
ENST00000432471	BAG4
ENST00000287322	BAG4
ENST00000503480	AC084024.2
ENST00000397166	DDHD2
ENST00000520272	DDHD2
ENST00000517385	DDHD2
ENST00000529845	DDHD2
ENST00000529359	PLPP5
ENST00000424479	PLPP5
ENST00000531823	PLPP5
ENST00000422581	PLPP5
ENST00000419686	PLPP5
ENST00000317025	NSD3
ENST00000433384	NSD3
ENST00000527502	NSD3
ENST00000316985	NSD3
ENST00000607047	AC087623.3
ENST00000519476	LETM2
ENST00000297720	LETM2
ENST00000524874	LETM2
ENST00000379957	LETM2
ENST00000523983	LETM2
ENST00000527710	LETM2
ENST00000425967	FGFR1
ENST00000397091	FGFR1
ENST00000447712	FGFR1
ENST00000619564	FGFR1
ENST00000341462	FGFR1
ENST00000532791	FGFR1
ENST00000397113	FGFR1
ENST00000356207	FGFR1
ENST00000335922	FGFR1
ENST00000326324	FGFR1
ENST00000397103	FGFR1
ENST00000397108	FGFR1
ENST00000473700	RPS20P22
ENST00000358138	C8orf86
ENST00000437935	C8orf86
ENST00000521623	AC069120.1
ENST00000519764	AC069120.3
ENST00000524091	AC069120.2
ENST00000521511	AC016813.1
ENST00000519416	TACC1
ENST00000520615	TACC1
ENST00000520340	TACC1
ENST00000518415	TACC1
ENST00000317827	TACC1
ENST00000276520	TACC1
ENST00000520973	TACC1
ENST00000520611	TACC1
ENST00000521746	PLEKHA2
ENST00000616927	PLEKHA2
ENST00000617275	PLEKHA2
ENST00000616834	PLEKHA2
ENST00000302495	HTRA4
ENST00000456845	TM2D2
ENST00000456397	TM2D2
ENST00000397070	TM2D2
ENST00000466936	ADAM9
ENST00000481513	ADAM9
ENST00000487273	ADAM9
ENST00000437682	ADAM32
ENST00000519315	ADAM32
ENST00000379907	ADAM32
ENST00000476002	RPL3P10
ENST00000518705	AC105185.1
ENST00000399789	ADAM5
ENST00000461344	ADAM3A
ENST00000620407	AC123767.1
ENST00000516367	AC123767.1
ENST00000265707	ADAM18
ENST00000379866	ADAM18
ENST00000520772	ADAM18
ENST00000347580	ADAM2
ENST00000379853	ADAM2
ENST00000265708	ADAM2
ENST00000622267	ADAM2
ENST00000521880	ADAM2
ENST00000408091	AC136365.1
ENST00000518393	AP005902.2
ENST00000521358	AP005902.1
ENST00000522495	IDO1
ENST00000518237	IDO1
ENST00000502986	IDO2
ENST00000389060	IDO2
ENST00000522680	AC007991.1
ENST00000524098	AC087518.1
ENST00000521257	AC022733.1
ENST00000315792	C8orf4
ENST00000520487	AC022733.2
ENST00000521363	AC105999.2
ENST00000521030	AC105999.2
ENST00000518722	AC105999.1
ENST00000606398	AC010857.1
ENST00000315769	ZMAT4
ENST00000297737	ZMAT4
ENST00000518428	AC048387.1
ENST00000220772	SFRP1
ENST00000379845	SFRP1
ENST00000579992	MIR548AO
ENST00000479278	RPS29P2
ENST00000521725	AC016868.1
ENST00000518270	GOLGA7
ENST00000520817	GOLGA7
ENST00000405786	GOLGA7
ENST00000357743	GOLGA7
ENST00000520711	KRT18P37
ENST00000276533	GINS4
ENST00000520710	GINS4
ENST00000518671	GINS4
ENST00000523277	GINS4
ENST00000396987	GPAT4
ENST00000524115	NKX6-3
ENST00000518699	NKX6-3
ENST00000347528	ANK1
ENST00000289734	ANK1
ENST00000522231	ANK1
ENST00000522543	ANK1
ENST00000314214	ANK1
ENST00000265709	ANK1
ENST00000348036	ANK1
ENST00000408108	MIR486
ENST00000563810	AC027702.1
ENST00000265713	KAT6A
ENST00000406337	KAT6A
ENST00000396930	KAT6A
ENST00000485568	KAT6A
ENST00000490411	AC103724.1
ENST00000520355	AC103724.2
ENST00000605981	AC103724.4
ENST00000518421	AP3M2
ENST00000174653	AP3M2
ENST00000396926	AP3M2
ENST00000517922	AP3M2
ENST00000429089	PLAT
ENST00000220809	PLAT
ENST00000352041	PLAT
ENST00000519510	PLAT
ENST00000429710	PLAT
ENST00000524009	PLAT
ENST00000520810	IKBKB
ENST00000416505	IKBKB
ENST00000629753	IKBKB
ENST00000519735	IKBKB
ENST00000520835	IKBKB
ENST00000518983	IKBKB
ENST00000522147	IKBKB
ENST00000265421	POLB
ENST00000521492	POLB
ENST00000496040	RPL5P23
ENST00000220812	DKK4
ENST00000522572	VDAC3
ENST00000521158	VDAC3
ENST00000022615	VDAC3
ENST00000342228	SLC20A2
ENST00000520262	SLC20A2
ENST00000520179	SLC20A2
ENST00000517332	AC093367.1
ENST00000438528	SMIM19
ENST00000417410	SMIM19
ENST00000414154	SMIM19
ENST00000416469	SMIM19
ENST00000490331	SMIM19
ENST00000607533	RP11-503E24.3
ENST00000289957	CHRNB3
ENST00000530523	AC103843.2
ENST00000276410	CHRNA6
ENST00000534622	CHRNA6
ENST00000254250	THAP1
ENST00000345117	THAP1
ENST00000319104	RNF170
ENST00000534961	RNF170
ENST00000527424	RNF170
ENST00000526349	RNF170
ENST00000319073	RNF170
ENST00000583919	MIR4469
ENST00000307602	HOOK3
ENST00000534420	AC110275.1
ENST00000302279	FNTA
ENST00000529687	FNTA
ENST00000614426	POMK
ENST00000331373	POMK
ENST00000517759	AC113191.1
ENST00000379644	HGSNAT
ENST00000521576	HGSNAT
ENST00000519939	VN1R46P
ENST00000518796	AC022616.5
ENST00000525383	AC022616.7
ENST00000523940	AC022616.3
ENST00000523185	AC022616.2
ENST00000521792	AFG3L2P1
ENST00000518688	AC022616.1
ENST00000522985	AC022616.4
ENST00000522175	POTEA
ENST00000519951	POTEA
ENST00000533569	AC022616.8
ENST00000583014	AC022616.1
ENST00000520479	AC022616.6
ENST00000511619	AC134698.1
ENST00000523451	AC134698.4
ENST00000523880	AC134698.3
ENST00000523611	SNX18P27
ENST00000519444	AC134698.5
ENST00000520423	CYP4F44P
ENST00000519172	AC134698.2
ENST00000408368	AC134698.1
ENST00000517972	AC139365.2
ENST00000519417	AC139365.1
ENST00000523715	HSPA8P13
ENST00000518311	ASNSP1
ENST00000524225	AC104576.1
ENST00000511103	ASNSP4
ENST00000523498	AC021451.1
ENST00000509929	TRIM60P15
ENST00000521715	LINC00293
ENST00000522536	MTND2P38
ENST00000632801	MTND1P7
ENST00000524239	MTCYBP20
ENST00000522986	MTND6P20
ENST00000518269	AC091163.3
ENST00000524012	AC091163.1
ENST00000519032	AC091163.2
ENST00000517873	AC026241.1
ENST00000583630	AC026241.1
ENST00000509729	AC120036.2
ENST00000479243	AC120036.1
ENST00000503796	NDUFA5P12
ENST00000521874	AC120036.4
ENST00000528139	AC120036.5
ENST00000522436	ATP6V1G1P2
ENST00000517826	AC120036.3
ENST00000399730	IGLV8OR8-1
ENST00000297423	SPIDR
ENST00000541342	SPIDR
ENST00000518074	SPIDR
ENST00000517693	SPIDR
ENST00000518060	SPIDR
ENST00000519856	AC024451.2
ENST00000508013	AC024451.1
ENST00000517810	AC024451.3
ENST00000408965	CEBPD
ENST00000314191	PRKDC
ENST00000338368	PRKDC
ENST00000390136	AC103686.1
ENST00000523944	MCM4
ENST00000262105	MCM4
ENST00000523111	UBE2V2
ENST00000521346	UBE2V2
ENST00000517630	UBE2V2
ENST00000520809	UBE2V2
ENST00000519711	AC104989.1
ENST00000520250	AC105029.1
ENST00000425197	AC041040.1
ENST00000521359	AC026904.2
ENST00000636550	AC026904.3
ENST00000430626	AC026904.1
ENST00000523038	AC026904.4
ENST00000521660	AC022915.1
ENST00000518620	AC022915.3
ENST00000433756	EFCAB1
ENST00000262103	EFCAB1
ENST00000523092	EFCAB1
ENST00000522657	AC013701.1
ENST00000020945	SNAI2
ENST00000517663	C8orf22
ENST00000522267	C8orf22
ENST00000399653	C8orf22
ENST00000303202	C8orf22
ENST00000518222	AC022568.1
ENST00000520120	RFPL4AP7
ENST00000518854	AC090155.2
ENST00000520800	AC090155.1
ENST00000518968	PSAT1P1
ENST00000522408	AC113145.1
ENST00000603280	AC023762.1
ENST00000518864	SNTG1
ENST00000522124	SNTG1
ENST00000517473	SNTG1
ENST00000523425	AC090539.2
ENST00000517555	CYCSP22
ENST00000523624	AC087272.1
ENST00000356297	PXDNL
ENST00000521785	BRIX1P1
ENST00000522014	BTF3P1
ENST00000605991	AC090186.1
ENST00000544451	PCMTD1
ENST00000360540	PCMTD1
ENST00000522514	PCMTD1
ENST00000521344	PCMTD1
ENST00000415643	AC090186.1
ENST00000607201	AC064807.4
ENST00000521188	AC064807.2
ENST00000523810	AC064807.3
ENST00000276480	ST18
ENST00000522228	AC103831.1
ENST00000472160	RPL34P17
ENST00000358543	ALKAL1
ENST00000523939	ALKAL1
ENST00000025008	RB1CC1
ENST00000435644	RB1CC1
ENST00000331251	NPBWR1
ENST00000511357	AC009800.1
ENST00000578249	AC009800.1
ENST00000516062	AC016113.1
ENST00000510455	AC009646.1
ENST00000613482	OPRK1
ENST00000612786	OPRK1
ENST00000265572	OPRK1
ENST00000524278	OPRK1
ENST00000520287	OPRK1
ENST00000566892	AC131902.2
ENST00000611767	AC131902.3
ENST00000521558	AC131902.1
ENST00000521930	AC022034.4
ENST00000426023	AC022034.2
ENST00000471393	AC022034.3
ENST00000512867	AC022034.1
ENST00000517688	AC103778.1
ENST00000355221	ATP6V1H
ENST00000520188	ATP6V1H
ENST00000359530	ATP6V1H
ENST00000396774	ATP6V1H
ENST00000297313	RGS20
ENST00000344277	RGS20
ENST00000522225	RGS20
ENST00000276500	RGS20
ENST00000498403	RPS27AP13
ENST00000396401	TCEA1
ENST00000521604	TCEA1
ENST00000522635	TCEA1
ENST00000640382	TCEA1
ENST00000640041	TCEA1
ENST00000520534	TCEA1
ENST00000518784	TCEA1
ENST00000640873	TCEA1
ENST00000638322	TCEA1
ENST00000523153	AC100821.1
ENST00000565668	AC100821.2
ENST00000316963	LYPLA1
ENST00000618741	LYPLA1
ENST00000618914	LYPLA1
ENST00000343231	LYPLA1
ENST00000522007	LYPLA1
ENST00000523009	TDGF1P5
ENST00000260102	MRPL15
ENST00000603811	AC060764.1
ENST00000519514	AC044836.1
ENST00000621305	AC027250.1
ENST00000297316	SOX17
ENST00000610741	AC091076.1
ENST00000603133	TRMT112P7
ENST00000518383	SEC11B
ENST00000636932	RP1
ENST00000220676	RP1
ENST00000637698	RP1
ENST00000520784	AC090151.1
ENST00000327381	XKR4
ENST00000622811	XKR4
ENST00000522186	AC022679.2
ENST00000522559	AC022679.1
ENST00000520251	AC022679.1
ENST00000444527	SBF1P1
ENST00000408662	AC100817.1
ENST00000617782	TMEM68
ENST00000434581	TMEM68
ENST00000334667	TMEM68
ENST00000617977	TMEM68
ENST00000519784	TMEM68
ENST00000523073	TMEM68
ENST00000521229	TMEM68
ENST00000522576	TMEM68
ENST00000260129	TGS1
ENST00000519728	LYN
